,userId,movieId,rating
29183,200,8641,3.0
24794,174,253,5.0
75202,475,165,4.5
83815,534,46578,2.5
10678,68,1967,2.5
28518,198,3527,2.0
97013,603,4705,3.0
74293,474,4477,1.0
43996,294,325,2.0
19827,130,165,4.0
9113,62,128512,3.5
73835,474,2558,2.0
21117,140,292,3.0
91002,590,4270,2.5
24243,168,913,4.5
70939,453,1616,3.0
45828,304,1064,3.0
51023,330,780,2.5
58372,381,6365,4.0
71960,462,107702,3.5
62883,414,1673,4.0
35332,239,454,4.0
49152,318,2529,4.0
88893,573,45499,3.5
45659,302,383,3.0
83158,526,96079,3.5
47640,307,52975,2.0
33802,230,2174,3.0
49988,322,500,3.0
99540,610,70,4.0
27478,186,3471,4.0
55550,368,1304,3.0
42473,288,2054,3.5
63901,414,5285,4.0
32002,219,52281,4.5
18364,117,39,3.0
85102,552,5013,4.0
94734,599,72226,3.0
98129,606,6140,4.0
90675,590,1214,4.5
11247,68,34542,4.0
14516,91,3508,4.0
65972,425,1089,3.5
77907,483,97304,4.5
59152,385,1356,4.0
62097,411,419,2.0
97713,606,2100,3.5
93765,599,3952,2.0
92636,599,19,3.0
34334,232,8957,4.5
24350,169,457,4.0
47477,307,7636,0.5
57747,380,51086,3.0
90995,590,4153,1.0
22071,144,3996,4.5
34305,232,8665,4.5
14910,95,1247,4.5
6585,45,1101,4.0
80066,502,3623,0.5
12102,74,5304,4.0
77948,483,112316,2.5
16612,105,51255,3.5
5076,33,475,4.0
42784,288,3498,4.0
47590,307,44972,0.5
7920,53,1049,5.0
65968,425,1047,3.5
27395,186,1653,4.0
69593,448,7573,2.5
24208,167,8874,4.5
43392,290,2731,5.0
25930,179,494,4.0
28909,199,37741,3.5
85426,555,1186,3.0
95153,600,292,2.5
85377,555,611,2.0
42571,288,2401,3.0
76109,479,2080,4.0
15363,100,1265,3.5
43841,292,79293,3.5
33879,231,858,4.0
994,7,8970,2.5
20851,137,6365,3.5
45422,298,115149,3.0
69199,448,3489,3.0
87070,561,122904,2.0
73487,474,1307,5.0
92376,597,1627,4.0
73295,474,912,5.0
28703,199,1500,3.0
14861,94,435,1.0
24785,174,161,3.0
51609,332,79132,4.0
14300,91,1225,3.0
26405,182,1916,4.0
50316,325,1948,4.0
38586,265,1921,4.0
12814,82,2000,4.5
67840,438,3624,3.0
75836,477,6375,4.5
78460,488,7147,4.5
62417,414,277,2.0
81087,514,44,2.5
62892,414,1701,2.0
1394,14,105,3.0
47549,307,34143,1.0
31727,219,2722,2.5
5245,34,5459,2.0
67492,437,175,5.0
31429,217,3108,2.0
11599,68,114762,3.5
40852,275,3480,2.0
95134,600,195,2.0
14321,91,1297,2.5
51320,331,59369,3.0
49931,321,186,4.0
